"id","Smoke flower","Vape flower","Vape cartridges","Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc)","Concentrates (e.g. rosin, shatter, wax, hash, kief, etc)","Tinctures","Salves/topicals","Transdermal patches","Suppositories","Capsules","Other (please specify)"
10148289731,"","","","","","","","","","",""
10142691158,"","","","26 - 50 mg","","","","","","",""
10137889771,"","","","","","","","","","",""
10137849877,"","","","6-25 mg","","","","","","",""
10134959359,"","","","6-25 mg","","","","","","",""
10131680927,"","","","101 - 200 mg","","","","","","",""
10131247244,"","","","","","","","","","",""
10127477117,"","","","5 mg or less","","","","","","",""
10127256002,"","","","26 - 50 mg","","","","","6-25 mg","",""
10123570987,"","","","","","","","","","",""
10626640573,"","","","51 - 100 mg","","","","","","",""
10615762014,"","","","","","","","","","",""
10232428512,"","","","","","","","","","",""
10231842260,"","","","501 - 1000 mg","","","","","","6-25 mg",""
10230506284,"","","","","","","","","","",""
10230353468,"","","","6-25 mg","","","","","","",""
10164134618,"","","","26 - 50 mg","","","","","","",""
10145906026,"","","","","","","","","","",""
10144348609,"","","","","","","","","","",""
10143691454,"","","","6-25 mg","","","","","","",""
10142680604,"","","","1001 or more mg","","","","","","",""
10138932667,"","","","","","","","","","",""
10131187127,"","","","","","","","","","",""
10113144108,"","","","","","","","","","",""
10442910474,"","","","6-25 mg","","","","","","",""
10416058133,"","","","","","","","","","5 mg or less",""
10349445006,"","","","6-25 mg","","","","","","",""
10264278489,"","","","","","","","","","",""
10248394143,"","","","","","","","","","",""
10235746652,"","","","","","","","","","",""
10233663249,"","","","","","","","","","",""
10233431423,"","","","51 - 100 mg","","","","","","",""
10230729526,"","","","","","","","","","",""
10230383445,"","","","","","","","","","",""
10230236662,"","","","","","","","","","",""
10230141136,"","","","5 mg or less","","","","","","",""
10229888050,"","","","","","","","","","",""
10229864938,"","","","","","","","","","101 - 200 mg",""
10229729020,"","","","","","","","","","5 mg or less",""
10229610141,"","","","","","","","","","",""
10229491086,"","","","201 - 500 mg","","","","","","",""
10194494769,"","","","","","","","","","",""
10176279610,"","","","5 mg or less","","","","","","",""
10166704081,"","","","6-25 mg","","","","","","",""
10166676707,"","","","","","","","","","",""
10144481063,"","","","","","","","","","",""
10139061871,"","","","","","","","","","",""
10131613868,"","","","","","","","","","",""
10131328156,"","","","5 mg or less","","","","","","26 - 50 mg",""
10131242201,"","","","","","","","","","",""
10131213551,"","","","","","","","","","",""
10129685307,"","","","51 - 100 mg","","","","","","201 - 500 mg",""
10128767761,"","","","5 mg or less","","","","","","",""
10127374223,"","","","5 mg or less","","","","","","",""
10616891358,"","","","","","","","","","",""
10464834197,"","","","5 mg or less","","","","","","",""
10239634868,"","","","","","","","","","",""
10237618095,"","","","5 mg or less","","","","","","",""
10235780578,"","","","","","","","","","5 mg or less",""
10234061188,"","","","","","","","","","",""
10231640334,"","","","","","","","","","26 - 50 mg",""
10230571912,"","","","51 - 100 mg","","","","","","",""
10230376575,"","","","5 mg or less","","","","","","",""
10229755208,"","","","","","","","","","",""
10229591098,"","","","","","","","","","",""
10229561917,"","","","5 mg or less","","","","","","",""
10229453603,"","","","6-25 mg","","","","","","",""
10229400598,"","","","6-25 mg","","","","","","",""
10211274731,"","","","","","","","","","",""
10168172790,"","","","51 - 100 mg","","","","","","",""
10163300389,"","","","5 mg or less","","","","","","",""
10143929046,"","","","6-25 mg","","","","","","",""
10142603713,"","","","","","","","","","",""
10127253546,"","","","5 mg or less","","","","","","",""
10127186413,"","","","6-25 mg","","","","","","",""
10253887260,"","","","101 - 200 mg","","","","","","",""
10234127592,"","","","","","","","","","",""
10230410378,"","","","","","","","","","",""
10230050316,"","","","","","","","","","",""
10229641829,"","","","","","","","","","26 - 50 mg",""
10229605942,"","","","201 - 500 mg","","","","","","",""
10229526159,"","","","","","","","","","",""
10229502714,"","","","","","","","","","501 - 1000 mg",""
10229472013,"","","","5 mg or less","","","","","","",""
10229432345,"","","","5 mg or less","","","","","","",""
10196676245,"","","","26 - 50 mg","","","","","","",""
10178863429,"","","","","","","","","","",""
10171530553,"","","","51 - 100 mg","","","","","","",""
10167632552,"","","","26 - 50 mg","","","","","","",""
10163295631,"","","","","","","","","","",""
10146235500,"","","","","","","","","","",""
10132796279,"","","","","","","","","","",""
10129485910,"","","","5 mg or less","","","","","","",""
10128771503,"","","","6-25 mg","","","","","","",""
10127999637,"","","","","","","","","","",""
10127359614,"","","","","","","","","","",""
10113996687,"","","","51 - 100 mg","","","","","","",""
10113110847,"","","","5 mg or less","","","","","","",""
10233142044,"","","","6-25 mg","","","","","","51 - 100 mg",""
10231064348,"","","","5 mg or less","","","","","","",""
10230754508,"","","","","","","","","","6-25 mg",""
10230141012,"","","","","","","","","","",""
10229595919,"","","","201 - 500 mg","","","","","","",""
10229467101,"","","","","","","","","","",""
10229389083,"","","","","","","","","","",""
10229354740,"","","","101 - 200 mg","","","","","","",""
10166135661,"","","","","","","","","","",""
10152846051,"","","","6-25 mg","","","","","","",""
10144588236,"","","","26 - 50 mg","","","","","","6-25 mg",""
10142699153,"","","","26 - 50 mg","","","","","","",""
10140845616,"","","","5 mg or less","","","","","","",""
10138030915,"","","","","","","","","","",""
10131554522,"","","","","","","","","","",""
10113828646,"","","","","","","","","","5 mg or less",""
10113809878,"","","","26 - 50 mg","","","","","","201 - 500 mg",""
10281129055,"","","","6-25 mg","","","","","","",""
10244871164,"","","","","","","","","","",""
10238126659,"","","","5 mg or less","","","","","","",""
10230022114,"","","","","","","","","","",""
10229633882,"","","","","","","","","","5 mg or less",""
10229630948,"","","","","","","","","","",""
10178041862,"","","","","","","","","","",""
10168777404,"","","","5 mg or less","","","","","","",""
10144506582,"","","","","","","","","","",""
10128945239,"","","","","","","","","","",""
10127804909,"","","","","","","","","","",""
10243813684,"","","","","","","","","","5 mg or less",""
10230234279,"","","","6-25 mg","","","","","","",""
10229949182,"","","","51 - 100 mg","","","","","","",""
10229706080,"","","","","","","","","","6-25 mg",""
10229395392,"","","","","","","","","","",""
10229388787,"","","","201 - 500 mg","","","","","","",""
10229334562,"","","","5 mg or less","","","","","","",""
10138940954,"","","","","","","","6-25 mg","","",""
